gender,age,income_bracket,occupation_group,marital_status,investment_propensity,product_amt
남,40대,10000만원미만,기타,기혼,공격투자형,16652000
여,30대,1000만원미만,자영업,기혼,안정추구형,1133000
남,30대,10000만원미만,전문직,미혼,공격투자형,20812000
여,40대,10000만원미만,서비스업,미혼,안정형,10851000
여,20대,10000만원미만,기타,기혼,안정추구형,13930000
여,20대,3000만원미만,사무종사자,미혼,공격투자형,4222000
여,40대,10000만원이상,기타,미혼,적극투자형,37779000
남,30대,3000만원미만,전문직,미혼,위험중립형,1752000
남,60대,10000만원이상,사무종사자,기혼,적극투자형,46110000
남,60대,5000만원미만,전문직,기혼,공격투자형,5973000
여,20대,10000만원이상,서비스업,기혼,안정추구형,26385000
여,40대,10000만원이상,기타,기혼,안정추구형,44433000
남,30대,1000만원미만,자영업,기혼,안정추구형,1056000
남,20대,5000만원미만,자영업,미혼,위험중립형,6572000
남,50대,5000만원미만,사무종사자,미혼,안정형,4129000
여,40대,10000만원이상,사무종사자,미혼,안정형,41885000
남,30대,10000만원이상,기타,미혼,적극투자형,87945000
남,40대,5000만원미만,서비스업,기혼,공격투자형,6984000
여,30대,10000만원이상,전문직,기혼,안정추구형,26870000
남,50대,10000만원이상,전문직,미혼,적극투자형,76096000
여,30대,10000만원미만,사무종사자,미혼,적극투자형,11717000
여,60대,3000만원미만,기타,미혼,공격투자형,1753000
남,40대,1000만원미만,전문직,기혼,안정추구형,619000
여,50대,3000만원미만,자영업,미혼,공격투자형,2192000
여,60대,5000만원미만,기타,기혼,위험중립형,9662000
남,20대,5000만원미만,자영업,미혼,안정형,8523000
여,50대,3000만원미만,사무종사자,기혼,위험중립형,2712000
여,40대,3000만원미만,기타,미혼,공격투자형,2846000
여,40대,5000만원미만,자영업,미혼,적극투자형,7779000
남,40대,1000만원미만,전문직,기혼,안정형,665000
남,40대,5000만원미만,자영업,기혼,적극투자형,11491000
남,50대,5000만원미만,전문직,기혼,안정추구형,9670000
남,30대,1000만원미만,전문직,미혼,안정형,1102000
남,40대,1000만원미만,전문직,기혼,안정형,528000
남,50대,1000만원미만,사무종사자,미혼,안정형,980000
여,30대,1000만원미만,서비스업,기혼,공격투자형,541000
여,20대,3000만원미만,서비스업,기혼,위험중립형,1682000
남,60대,5000만원미만,기타,미혼,위험중립형,4600000
여,20대,10000만원미만,서비스업,기혼,위험중립형,25465000
남,40대,5000만원미만,자영업,기혼,안정형,7072000
남,40대,5000만원미만,사무종사자,기혼,안정추구형,6179000
남,40대,5000만원미만,사무종사자,기혼,안정형,9008000
여,60대,10000만원미만,전문직,미혼,위험중립형,14531000
남,60대,10000만원미만,서비스업,미혼,적극투자형,18513000
남,30대,1000만원미만,서비스업,기혼,공격투자형,1436000
여,50대,5000만원미만,자영업,기혼,안정형,3825000
남,50대,3000만원미만,서비스업,미혼,안정형,1745000
여,40대,10000만원이상,사무종사자,기혼,안정형,43325000
남,50대,5000만원미만,서비스업,미혼,안정형,5274000
여,20대,5000만원미만,사무종사자,미혼,안정형,7866000
남,40대,3000만원미만,서비스업,미혼,위험중립형,5223000
남,40대,10000만원이상,자영업,기혼,적극투자형,37869000
여,50대,3000만원미만,전문직,미혼,적극투자형,2176000
여,30대,5000만원미만,전문직,미혼,공격투자형,6179000
남,60대,1000만원미만,서비스업,기혼,위험중립형,842000
남,50대,1000만원미만,사무종사자,미혼,공격투자형,1271000
남,50대,3000만원미만,기타,기혼,안정형,1906000
여,60대,10000만원이상,서비스업,미혼,위험중립형,17550000
여,40대,5000만원미만,서비스업,기혼,안정추구형,2761000
여,40대,5000만원미만,자영업,기혼,공격투자형,5007000
여,20대,1000만원미만,사무종사자,기혼,적극투자형,1713000
여,20대,10000만원미만,전문직,미혼,공격투자형,19625000
남,50대,5000만원미만,전문직,미혼,공격투자형,9919000
남,40대,10000만원미만,사무종사자,기혼,안정형,12709000
여,50대,5000만원미만,기타,기혼,안정형,2390000
남,40대,5000만원미만,전문직,기혼,위험중립형,5362000
여,30대,1000만원미만,서비스업,기혼,공격투자형,1385000
여,20대,3000만원미만,사무종사자,기혼,안정추구형,3047000
여,60대,3000만원미만,전문직,기혼,안정추구형,2441000
남,50대,10000만원미만,서비스업,미혼,안정추구형,22935000
여,20대,3000만원미만,사무종사자,미혼,안정추구형,1403000
남,30대,10000만원미만,자영업,미혼,위험중립형,17595000
남,30대,10000만원미만,사무종사자,미혼,공격투자형,27677000
남,30대,1000만원미만,사무종사자,기혼,공격투자형,1025000
여,40대,1000만원미만,서비스업,기혼,적극투자형,769000
남,40대,5000만원미만,자영업,미혼,안정형,3430000
남,50대,3000만원미만,사무종사자,기혼,안정형,1798000
남,20대,10000만원미만,기타,기혼,안정형,11264000
남,20대,3000만원미만,전문직,기혼,안정추구형,2694000
남,50대,10000만원미만,기타,미혼,공격투자형,16528000
남,50대,3000만원미만,자영업,기혼,공격투자형,3390000
남,50대,3000만원미만,기타,미혼,위험중립형,2756000
남,30대,10000만원미만,사무종사자,미혼,적극투자형,11323000
여,40대,10000만원미만,기타,기혼,위험중립형,10477000
여,20대,5000만원미만,자영업,기혼,공격투자형,4563000
여,40대,10000만원이상,자영업,미혼,위험중립형,39102000
남,40대,10000만원이상,자영업,미혼,안정추구형,53647000
여,20대,10000만원미만,서비스업,미혼,안정추구형,13925000
여,50대,10000만원미만,전문직,기혼,적극투자형,12062000
여,60대,10000만원미만,기타,기혼,안정형,17912000
여,20대,5000만원미만,기타,미혼,공격투자형,3595000
여,60대,1000만원미만,서비스업,미혼,적극투자형,710000
남,20대,10000만원미만,전문직,미혼,적극투자형,10438000
여,50대,10000만원미만,전문직,기혼,적극투자형,11744000
남,50대,3000만원미만,서비스업,기혼,적극투자형,5257000
남,40대,10000만원미만,기타,미혼,적극투자형,24729000
여,50대,5000만원미만,서비스업,미혼,안정추구형,2437000
여,60대,1000만원미만,자영업,미혼,위험중립형,764000
남,40대,3000만원미만,사무종사자,기혼,적극투자형,2317000
여,40대,5000만원미만,서비스업,미혼,안정형,4134000
남,60대,3000만원미만,서비스업,기혼,안정형,3418000
남,30대,1000만원미만,사무종사자,미혼,안정형,688000
여,50대,1000만원미만,기타,기혼,안정추구형,566000
남,50대,5000만원미만,서비스업,기혼,위험중립형,7540000
여,50대,10000만원미만,자영업,기혼,적극투자형,27844000
여,50대,10000만원이상,자영업,기혼,공격투자형,45158000
여,30대,1000만원미만,기타,기혼,적극투자형,1126000
여,60대,3000만원미만,서비스업,미혼,적극투자형,1978000
남,40대,3000만원미만,자영업,미혼,안정추구형,2010000
남,30대,5000만원미만,기타,기혼,안정형,9334000
남,30대,1000만원미만,서비스업,기혼,안정추구형,643000
남,50대,10000만원이상,서비스업,미혼,위험중립형,30826000
여,20대,1000만원미만,자영업,기혼,안정형,533000
여,40대,5000만원미만,전문직,미혼,안정추구형,9772000
여,30대,10000만원이상,자영업,미혼,공격투자형,27952000
여,60대,5000만원미만,자영업,기혼,안정형,6118000
남,50대,5000만원미만,서비스업,기혼,공격투자형,7624000
남,40대,5000만원미만,기타,기혼,적극투자형,4870000
여,40대,10000만원미만,자영업,미혼,적극투자형,14469000
남,40대,5000만원미만,자영업,기혼,공격투자형,6369000
남,20대,10000만원미만,전문직,기혼,안정추구형,20009000
여,40대,10000만원미만,전문직,기혼,적극투자형,23404000
남,40대,10000만원미만,사무종사자,기혼,적극투자형,30092000
여,40대,5000만원미만,서비스업,기혼,공격투자형,3511000
여,60대,10000만원이상,자영업,미혼,안정추구형,15269000
남,30대,3000만원미만,기타,기혼,적극투자형,3802000
여,40대,5000만원미만,서비스업,미혼,공격투자형,4418000
여,30대,3000만원미만,기타,미혼,위험중립형,1536000
여,60대,5000만원미만,사무종사자,기혼,위험중립형,3686000
남,60대,10000만원이상,자영업,기혼,적극투자형,49126000
남,40대,10000만원미만,기타,기혼,적극투자형,14537000
여,30대,3000만원미만,서비스업,미혼,적극투자형,2393000
여,40대,10000만원이상,서비스업,미혼,공격투자형,58585000
남,50대,1000만원미만,사무종사자,기혼,안정추구형,825000
남,30대,10000만원미만,기타,기혼,적극투자형,17229000
여,60대,5000만원미만,사무종사자,미혼,공격투자형,6919000
여,50대,1000만원미만,전문직,미혼,적극투자형,841000
남,20대,1000만원미만,서비스업,미혼,안정추구형,611000
여,40대,3000만원미만,자영업,기혼,안정형,873000
여,60대,10000만원미만,기타,기혼,공격투자형,9339000
여,60대,1000만원미만,사무종사자,기혼,안정형,706000
남,20대,3000만원미만,사무종사자,미혼,안정추구형,1678000
남,20대,5000만원미만,서비스업,기혼,위험중립형,3135000
남,40대,3000만원미만,전문직,기혼,위험중립형,2289000
여,40대,1000만원미만,자영업,기혼,공격투자형,990000
남,30대,1000만원미만,기타,기혼,안정형,462000
남,60대,10000만원미만,전문직,미혼,안정추구형,13127000
남,30대,1000만원미만,전문직,기혼,공격투자형,531000
남,50대,10000만원이상,서비스업,기혼,적극투자형,66106000
남,50대,10000만원미만,전문직,미혼,공격투자형,22838000
남,20대,3000만원미만,사무종사자,미혼,안정형,2896000
여,20대,3000만원미만,기타,기혼,위험중립형,1806000
여,40대,5000만원미만,기타,미혼,안정추구형,7795000
남,20대,1000만원미만,기타,기혼,위험중립형,500000
남,30대,5000만원미만,전문직,기혼,위험중립형,6334000
남,60대,1000만원미만,서비스업,기혼,위험중립형,1191000
여,40대,10000만원이상,전문직,미혼,위험중립형,24112000
여,30대,10000만원미만,사무종사자,미혼,위험중립형,23795000
여,60대,1000만원미만,자영업,기혼,위험중립형,618000
남,40대,3000만원미만,기타,기혼,적극투자형,3596000
남,30대,5000만원미만,자영업,기혼,적극투자형,7887000
여,40대,3000만원미만,기타,기혼,안정추구형,1443000
여,40대,3000만원미만,사무종사자,기혼,안정형,2486000
